LECROYWR104MXi,20621,Waveform
Segments,1,SegmentSize,501
Segment,TrigTime,TimeSinceSegment1
#1,22-May-2015 13:17:29,0                 
Time,Ampl
4.386e-005,0.0340554
4.388e-005,0.0338173
4.39e-005,0.0339661
4.392e-005,0.0343481
4.394e-005,0.0344969
4.396e-005,0.0344324
4.398e-005,0.0344076
4.4e-005,0.0343779
4.402e-005,0.0350376
4.404e-005,0.0342638
4.406e-005,0.0342539
4.408e-005,0.0347202
4.41e-005,0.0350922
4.412e-005,0.0349533
4.414e-005,0.0193026
4.416e-005,0.004654
4.418e-005,0.000888908
4.42e-005,0.01649
4.422e-005,0.026689
4.424e-005,0.0304987
4.426e-005,0.0325375
4.428e-005,0.0346954
4.43e-005,0.0359553
4.432e-005,0.0369971
4.434e-005,0.0374435
4.436e-005,0.0385249
4.438e-005,0.0391797
4.44e-005,0.0395766
4.442e-005,0.0402413
4.444e-005,0.040906
4.446e-005,0.0412979
4.448e-005,0.0410796
4.45e-005,0.0407274
4.452e-005,0.040782
4.454e-005,0.0412979
4.456e-005,0.0409457
4.458e-005,0.0410449
4.46e-005,0.041417
4.462e-005,0.0407622
4.464e-005,0.0406233
4.466e-005,0.0419229
4.468e-005,0.0415311
4.47e-005,0.0417096
4.472e-005,0.0408118
4.474e-005,0.0405687
4.476e-005,0.041154
4.478e-005,0.0409655
4.48e-005,0.0410052
4.482e-005,0.0411392
4.484e-005,0.0419874
4.486e-005,0.040658
4.488e-005,0.0420122
4.49e-005,0.0260887
4.492e-005,0.0107158
4.494e-005,0.00136016
4.496e-005,0.00969892
4.498e-005,0.0261532
4.5e-005,0.0331725
4.502e-005,0.0372897
4.504e-005,0.0400181
4.506e-005,0.0418585
4.508e-005,0.0435897
4.51e-005,0.0440709
4.512e-005,0.0450928
4.514e-005,0.046323
4.516e-005,0.0466553
4.518e-005,0.0472258
4.52e-005,0.0478459
4.522e-005,0.0472506
4.524e-005,0.0479997
4.526e-005,0.0488876
4.528e-005,0.0473399
4.53e-005,0.0479897
4.532e-005,0.0479947
4.534e-005,0.0483122
4.536e-005,0.0489075
4.538e-005,0.0490265
4.54e-005,0.0490216
4.542e-005,0.0489273
4.544e-005,0.0494382
4.546e-005,0.0488727
4.548e-005,0.048714
4.55e-005,0.0493738
4.552e-005,0.0479897
4.554e-005,0.0489967
4.556e-005,0.0486098
4.558e-005,0.0487289
4.56e-005,0.0485801
4.562e-005,0.0481783
4.564e-005,0.0466752
4.566e-005,0.0345069
4.568e-005,0.0183155
4.57e-005,0.00174213
4.572e-005,0.000412691
4.574e-005,0.0232066
4.576e-005,0.0357668
4.578e-005,0.0420767
4.58e-005,0.0459906
4.582e-005,0.0479897
4.584e-005,0.04985
4.586e-005,0.0512489
4.588e-005,0.0512241
4.59e-005,0.0526279
4.592e-005,0.0535754
4.594e-005,0.0543244
4.596e-005,0.0553463
4.598e-005,0.0554902
4.6e-005,0.0547709
4.602e-005,0.0559118
4.604e-005,0.0554703
4.606e-005,0.0551876
4.608e-005,0.0557035
4.61e-005,0.0557084
4.612e-005,0.0557977
4.614e-005,0.0563087
4.616e-005,0.0560309
4.618e-005,0.0558076
4.62e-005,0.0561995
4.622e-005,0.0558969
4.624e-005,0.0560061
4.626e-005,0.055887
4.628e-005,0.0561698
4.63e-005,0.0561202
4.632e-005,0.0558374
4.634e-005,0.0559416
4.636e-005,0.0557779
4.638e-005,0.0554852
4.64e-005,0.0546617
4.642e-005,0.0499145
4.644e-005,0.022026
4.646e-005,0.00803216
4.648e-005,0.00105261
4.65e-005,0.0111772
4.652e-005,0.0227999
4.654e-005,0.0249974
4.656e-005,0.0264558
4.658e-005,0.027944
4.66e-005,0.0292288
4.662e-005,0.0298836
4.664e-005,0.0306376
4.666e-005,0.0316744
4.668e-005,0.032096
4.67e-005,0.0331526
4.672e-005,0.0330931
4.674e-005,0.0334056
4.676e-005,0.0335693
4.678e-005,0.0338273
4.68e-005,0.0342092
4.682e-005,0.0340852
4.684e-005,0.0334453
4.686e-005,0.0329244
4.688e-005,0.0335842
4.69e-005,0.0336487
4.692e-005,0.0337776
4.694e-005,0.0340207
4.696e-005,0.0336239
4.698e-005,0.0338223
4.7e-005,0.0338223
4.702e-005,0.0345961
4.704e-005,0.0342489
4.706e-005,0.0337132
4.708e-005,0.0337429
4.71e-005,0.0338719
4.712e-005,0.0342588
4.714e-005,0.0340108
4.716e-005,0.0344523
4.718e-005,0.0357123
4.72e-005,0.0287079
4.722e-005,0.0130374
4.724e-005,0.000363085
4.726e-005,0.00513022
4.728e-005,0.0226858
4.73e-005,0.0287228
4.732e-005,0.0305433
4.734e-005,0.033232
4.736e-005,0.0348343
4.738e-005,0.0354494
4.74e-005,0.0368235
4.742e-005,0.0378305
4.744e-005,0.0383216
4.746e-005,0.0386539
4.748e-005,0.0391847
4.75e-005,0.0389664
4.752e-005,0.0399486
4.754e-005,0.0394129
4.756e-005,0.0395419
4.758e-005,0.0398048
4.76e-005,0.0399833
4.762e-005,0.0404893
4.764e-005,0.0400528
4.766e-005,0.0402264
4.768e-005,0.0401917
