Time,Ampl
4.126e-005,0.0463924
4.1264e-005,0.0466851
4.1268e-005,0.0461097
4.1272e-005,0.046824
4.1276e-005,0.0475185
4.128e-005,0.0476475
4.1284e-005,0.0483171
4.1288e-005,0.0471365
4.1292e-005,0.0481882
4.1296e-005,0.0485056
4.13e-005,0.0487289
4.1304e-005,0.0482923
4.1308e-005,0.0486842
4.1312e-005,0.0483816
4.1316e-005,0.0485949
4.132e-005,0.0489025
4.1324e-005,0.048833
4.1328e-005,0.0492646
4.1332e-005,0.048714
4.1336e-005,0.0488876
4.134e-005,0.0493936
4.1344e-005,0.0489819
4.1348e-005,0.0486594
4.1352e-005,0.0491555
4.1356e-005,0.0490315
4.136e-005,0.0491059
4.1364e-005,0.0493738
4.1368e-005,0.0494928
4.1372e-005,0.0486396
4.1376e-005,0.0495771
4.138e-005,0.049096
4.1384e-005,0.0487487
4.1388e-005,0.0491108
4.1392e-005,0.0495523
4.1396e-005,0.0495623
4.14e-005,0.0494878
4.1404e-005,0.0494382
4.1408e-005,0.0492993
4.1412e-005,0.0491257
4.1416e-005,0.0492497
4.142e-005,0.0493341
4.1424e-005,0.0498252
4.1428e-005,0.0493787
4.1432e-005,0.0492497
4.1436e-005,0.0496565
4.144e-005,0.0493787
4.1444e-005,0.0487884
4.1448e-005,0.0492249
4.1452e-005,0.0496367
4.1456e-005,0.0488132
4.146e-005,0.0493688
4.1464e-005,0.0496664
4.1468e-005,0.0501178
4.1472e-005,0.0495127
4.1476e-005,0.0496763
4.148e-005,0.0503659
4.1484e-005,0.0502667
4.1488e-005,0.0499194
4.1492e-005,0.0494234
4.1496e-005,0.0492051
4.15e-005,0.0499145
4.1504e-005,0.0497061
4.1508e-005,0.0500335
4.1512e-005,0.0499145
4.1516e-005,0.0498202
4.152e-005,0.0492051
4.1524e-005,0.0496664
4.1528e-005,0.0500881
4.1532e-005,0.0497557
4.1536e-005,0.0500782
4.154e-005,0.0499988
4.1544e-005,0.0498549
4.1548e-005,0.0488777
4.1552e-005,0.0500137
4.1556e-005,0.0500335
4.156e-005,0.0497458
4.1564e-005,0.0502964
4.1568e-005,0.0491208
4.1572e-005,0.049721
