Time,Ampl
4.126e-005,0.0175466
4.1264e-005,0.0171993
4.1268e-005,0.0170902
4.1272e-005,0.0171001
4.1276e-005,0.0173829
4.128e-005,0.0172589
4.1284e-005,0.0167231
4.1288e-005,0.0173035
4.1292e-005,0.0168372
4.1296e-005,0.0164255
4.13e-005,0.0165793
4.1304e-005,0.017373
4.1308e-005,0.0174821
4.1312e-005,0.0168719
4.1316e-005,0.0170654
4.132e-005,0.0167926
4.1324e-005,0.0167827
4.1328e-005,0.0167479
4.1332e-005,0.016738
4.1336e-005,0.0172688
4.134e-005,0.0172093
4.1344e-005,0.0163412
4.1348e-005,0.0169761
4.1352e-005,0.0170803
4.1356e-005,0.0173878
4.136e-005,0.0171497
4.1364e-005,0.0174027
4.1368e-005,0.0172341
4.1372e-005,0.016991
4.1376e-005,0.0166934
4.138e-005,0.0172936
4.1384e-005,0.0169315
4.1388e-005,0.0164701
4.1392e-005,0.0172787
4.1396e-005,0.0166884
4.14e-005,0.0168273
4.1404e-005,0.0174623
4.1408e-005,0.0172688
4.1412e-005,0.01649
4.1416e-005,0.0169017
4.142e-005,0.0166438
4.1424e-005,0.0168124
4.1428e-005,0.0167182
4.1432e-005,0.0165445
4.1436e-005,0.0169464
4.144e-005,0.0166983
4.1444e-005,0.0168323
4.1448e-005,0.0176607
4.1452e-005,0.0170208
4.1456e-005,0.0166834
4.146e-005,0.0168571
4.1464e-005,0.0174672
4.1468e-005,0.0173581
4.1472e-005,0.0177698
4.1476e-005,0.0171646
4.148e-005,0.0171398
4.1484e-005,0.0170108
4.1488e-005,0.0168868
4.1492e-005,0.0167082
4.1496e-005,0.0165297
4.15e-005,0.0164751
4.1504e-005,0.0169414
4.1508e-005,0.0167082
4.1512e-005,0.016862
4.1516e-005,0.0162618
4.152e-005,0.0163213
4.1524e-005,0.0163015
4.1528e-005,0.0172043
4.1532e-005,0.0169315
4.1536e-005,0.0172043
4.154e-005,0.0166289
4.1544e-005,0.0170555
4.1548e-005,0.0171249
4.1552e-005,0.0171299
4.1556e-005,0.016609
4.156e-005,0.0166586
4.1564e-005,0.016862
4.1568e-005,0.016356
4.1572e-005,0.0174077
4.1576e-005,0.017492
4.158e-005,0.0164751
4.1584e-005,0.0170009
4.1588e-005,0.0175863
4.1592e-005,0.0167132
4.1596e-005,0.0164701
4.16e-005,0.0165297
4.1604e-005,0.0165793
4.1608e-005,0.0169563
4.1612e-005,0.0172043
4.1616e-005,0.016738
4.162e-005,0.0164553
4.1624e-005,0.0167777
4.1628e-005,0.0171448
4.1632e-005,0.0170208
4.1636e-005,0.0166041
4.164e-005,0.0175813
4.1644e-005,0.0174126
4.1648e-005,0.0171249
4.1652e-005,0.0162717
4.1656e-005,0.0172688
4.166e-005,0.0165743
4.1664e-005,0.0167628
4.1668e-005,0.0173382
4.1672e-005,0.0169712
4.1676e-005,0.0175466
4.168e-005,0.0173333
4.1684e-005,0.0167231
4.1688e-005,0.0176359
4.1692e-005,0.0170108
4.1696e-005,0.0170803
4.17e-005,0.0165793
4.1704e-005,0.017626
4.1708e-005,0.0169215
4.1712e-005,0.016619
4.1716e-005,0.0176706
4.172e-005,0.0175565
4.1724e-005,0.016485
4.1728e-005,0.0168521
4.1732e-005,0.0169612
4.1736e-005,0.0170257
4.174e-005,0.0166586
4.1744e-005,0.0175218
4.1748e-005,0.0167727
4.1752e-005,0.0165743
4.1756e-005,0.0166785
4.176e-005,0.0165346
4.1764e-005,0.0172291
4.1768e-005,0.0169265
4.1772e-005,0.0171845
4.1776e-005,0.0176954
4.178e-005,0.0170555
4.1784e-005,0.0167479
4.1788e-005,0.0171001
4.1792e-005,0.0176061
4.1796e-005,0.0170704
4.18e-005,0.0161229
4.1804e-005,0.0174672
4.1808e-005,0.0181815
4.1812e-005,0.0191439
4.1816e-005,0.0193622
4.182e-005,0.0198533
4.1824e-005,0.0194217
