LECROYWR104MXi,20621,Waveform
Segments,1,SegmentSize,2501
Segment,TrigTime,TimeSinceSegment1
#1,21-May-2015 13:59:34,0                 
Time,Ampl
4.126e-005,0.0465264
4.1264e-005,0.0463329
4.1268e-005,0.0468439
4.1272e-005,0.0465016
4.1276e-005,0.0462932
4.128e-005,0.0471464
4.1284e-005,0.0463428
4.1288e-005,0.0466901
4.1292e-005,0.0469877
4.1296e-005,0.0463627
4.13e-005,0.0461891
4.1304e-005,0.0463577
4.1308e-005,0.0465512
4.1312e-005,0.0464222
4.1316e-005,0.0468439
4.132e-005,0.0459708
4.1324e-005,0.0456384
4.1328e-005,0.0466405
4.1332e-005,0.0453557
4.1336e-005,0.0462188
4.134e-005,0.0461791
4.1344e-005,0.0464272
4.1348e-005,0.046065
4.1352e-005,0.0467
4.1356e-005,0.0462337
4.136e-005,0.0467496
4.1364e-005,0.0471613
4.1368e-005,0.0465958
4.1372e-005,0.0459708
4.1376e-005,0.0471514
4.138e-005,0.045946
4.1384e-005,0.0462337
4.1388e-005,0.0466008
4.1392e-005,0.0459559
4.1396e-005,0.0467694
4.14e-005,0.0463776
4.1404e-005,0.0464371
4.1408e-005,0.046829
4.1412e-005,0.0466901
4.1416e-005,0.0458418
4.142e-005,0.0463379
4.1424e-005,0.0468141
4.1428e-005,0.0465165
4.1432e-005,0.0467893
4.1436e-005,0.0470423
4.144e-005,0.0470274
4.1444e-005,0.0469381
4.1448e-005,0.0451672
4.1452e-005,0.0403653
4.1456e-005,0.0378801
4.146e-005,0.0366052
4.1464e-005,0.0355039
4.1468e-005,0.0350823
4.1472e-005,0.0340802
4.1476e-005,0.0247593
4.148e-005,0.0198136
4.1484e-005,0.019134
4.1488e-005,0.0187371
4.1492e-005,0.0186379
4.1496e-005,0.0185635
4.15e-005,0.00869192
4.1504e-005,0.00157347
4.1508e-005,0.00153875
4.1512e-005,0.000536706
4.1516e-005,0.000685524
4.152e-005,0.00122127
4.1524e-005,0.000194425
4.1528e-005,0.000333322
4.1532e-005,0.000139859
4.1536e-005,-0.000713363
4.154e-005,0.0102446
4.1544e-005,0.0193671
4.1548e-005,0.0224625
4.1552e-005,0.0268279
4.1556e-005,0.0312527
4.156e-005,0.0340009
4.1564e-005,0.0351964
4.1568e-005,0.0382471
4.1572e-005,0.0394774
4.1576e-005,0.0407076
4.158e-005,0.0422851
4.1584e-005,0.043302
4.1588e-005,0.044051
4.1592e-005,0.0447356
4.1596e-005,0.0457624
4.16e-005,0.0464024
4.1604e-005,0.047702
4.1608e-005,0.0482328
4.1612e-005,0.0483767
4.1616e-005,0.0490315
4.162e-005,0.0490811
4.1624e-005,0.0494283
4.1628e-005,0.0501426
4.1632e-005,0.0503956
4.1636e-005,0.0504601
4.164e-005,0.0509909
4.1644e-005,0.0506437
4.1648e-005,0.0514026
4.1652e-005,0.0516407
4.1656e-005,0.0517449
4.166e-005,0.051983
4.1664e-005,0.0517747
4.1668e-005,0.0519681
4.1672e-005,0.052365
4.1676e-005,0.0531438
4.168e-005,0.0524592
4.1684e-005,0.0528313
4.1688e-005,0.0531091
4.1692e-005,0.0526081
4.1696e-005,0.0529652
4.17e-005,0.0530992
4.1704e-005,0.0527767
4.1708e-005,0.0520822
4.1712e-005,0.0535407
4.1716e-005,0.0528511
4.172e-005,0.0532777
4.1724e-005,0.0530396
4.1728e-005,0.0530446
4.1732e-005,0.0529206
4.1736e-005,0.0529057
4.174e-005,0.0525882
4.1744e-005,0.0529553
4.1748e-005,0.0537936
4.1752e-005,0.052742
4.1756e-005,0.053501
4.176e-005,0.0535059
4.1764e-005,0.0537242
4.1768e-005,0.0531289
4.1772e-005,0.0535059
4.1776e-005,0.0539375
4.178e-005,0.0537391
4.1784e-005,0.0542351
4.1788e-005,0.0536051
4.1792e-005,0.054131
4.1796e-005,0.0537936
4.18e-005,0.0537044
4.1804e-005,0.0539474
4.1808e-005,0.0545427
4.1812e-005,0.05425
4.1816e-005,0.0537093
4.182e-005,0.0542252
4.1824e-005,0.0531785
4.1828e-005,0.0543592
4.1832e-005,0.0544484
4.1836e-005,0.0526924
4.184e-005,0.0534018
4.1844e-005,0.0543988
4.1848e-005,0.0536299
4.1852e-005,0.0535109
4.1856e-005,0.0547064
4.186e-005,0.0534266
4.1864e-005,0.0541558
4.1868e-005,0.0538829
4.1872e-005,0.0542649
4.1876e-005,0.0537986
4.188e-005,0.0542451
4.1884e-005,0.0542798
4.1888e-005,0.0545229
4.1892e-005,0.0544534
4.1896e-005,0.0536051
4.19e-005,0.0535158
4.1904e-005,0.0537837
4.1908e-005,0.0540169
4.1912e-005,0.0543889
4.1916e-005,0.054632
4.192e-005,0.0540814
4.1924e-005,0.0542599
4.1928e-005,0.0543691
4.1932e-005,0.054126
4.1936e-005,0.0547709
4.194e-005,0.0547064
4.1944e-005,0.0540764
4.1948e-005,0.0547808
4.1952e-005,0.054498
4.1956e-005,0.0543443
4.196e-005,0.0543095
4.1964e-005,0.0548006
4.1968e-005,0.0544633
4.1972e-005,0.0538581
4.1976e-005,0.0548453
4.198e-005,0.0547262
4.1984e-005,0.054632
4.1988e-005,0.0546717
4.1992e-005,0.054374
4.1996e-005,0.0543195
4.2e-005,0.0549296
4.2004e-005,0.0540566
4.2008e-005,0.0536448
4.2012e-005,0.0550536
4.2016e-005,0.0543988
4.202e-005,0.0539673
4.2024e-005,0.0539573
4.2028e-005,0.0546121
4.2032e-005,0.0539226
4.2036e-005,0.0542996
4.204e-005,0.0548006
4.2044e-005,0.0538631
4.2048e-005,0.0542599
4.2052e-005,0.0541955
4.2056e-005,0.0538929
4.206e-005,0.0541161
4.2064e-005,0.0540764
4.2068e-005,0.0533472
4.2072e-005,0.0542897
4.2076e-005,0.0541359
4.208e-005,0.0543939
4.2084e-005,0.0541756
4.2088e-005,0.0545576
4.2092e-005,0.0535307
4.2096e-005,0.0543641
4.21e-005,0.054374
4.2104e-005,0.0532579
4.2108e-005,0.0545923
4.2112e-005,0.0535704
4.2116e-005,0.0541111
4.212e-005,0.0540714
4.2124e-005,0.0539921
4.2128e-005,0.0541458
4.2132e-005,0.0545774
4.2136e-005,0.0541062
4.214e-005,0.0545328
4.2144e-005,0.0552173
4.2148e-005,0.054121
4.2152e-005,0.0543195
4.2156e-005,0.0548205
4.216e-005,0.054126
4.2164e-005,0.0544286
4.2168e-005,0.0543046
4.2172e-005,0.053878
4.2176e-005,0.0541359
4.218e-005,0.0548552
4.2184e-005,0.0534018
4.2188e-005,0.0539177
4.2192e-005,0.0545427
4.2196e-005,0.0535258
4.22e-005,0.0545129
4.2204e-005,0.0541806
4.2208e-005,0.0544881
4.2212e-005,0.0546568
4.2216e-005,0.0530198
4.222e-005,0.0463676
4.2224e-005,0.0411789
4.2228e-005,0.0390607
4.2232e-005,0.037255
4.2236e-005,0.0363125
4.224e-005,0.0354742
4.2244e-005,0.0256026
4.2248e-005,0.0201162
4.2252e-005,0.019635
4.2256e-005,0.0187123
4.226e-005,0.0190248
4.2264e-005,0.0184494
4.2268e-005,0.00936656
4.2272e-005,0.0011915
4.2276e-005,0.00150898
4.228e-005,-3.37621e-005
4.2284e-005,0.000333322
4.2288e-005,0.00115182
4.2292e-005,0.000621036
4.2296e-005,0.000695445
4.23e-005,0.00073513
4.2304e-005,-0.000356201
4.2308e-005,0.00963444
4.2312e-005,0.0202799
4.2316e-005,0.0246452
4.232e-005,0.028445
4.2324e-005,0.0336487
4.2328e-005,0.0364415
4.2332e-005,0.0375576
4.2336e-005,0.0404496
4.234e-005,0.042037
4.2344e-005,0.0426174
4.2348e-005,0.0451126
4.2352e-005,0.0460254
4.2356e-005,0.0465165
4.236e-005,0.0477368
4.2364e-005,0.0492051
4.2368e-005,0.0491307
4.2372e-005,0.050093
4.2376e-005,0.0506982
4.238e-005,0.0502171
4.2384e-005,0.0511645
4.2388e-005,0.0521765
4.2392e-005,0.0520574
4.2396e-005,0.0528313
4.24e-005,0.052618
4.2404e-005,0.0534712
4.2408e-005,0.0540913
4.2412e-005,0.0539573
4.2416e-005,0.0551032
4.242e-005,0.0548403
4.2424e-005,0.0548949
4.2428e-005,0.0549197
4.2432e-005,0.0556985
4.2436e-005,0.055505
4.244e-005,0.0556588
4.2444e-005,0.0559813
4.2448e-005,0.0561499
4.2452e-005,0.0559565
4.2456e-005,0.0560656
4.246e-005,0.0567154
4.2464e-005,0.0563037
4.2468e-005,0.0570031
4.2472e-005,0.0567353
4.2476e-005,0.0566658
4.248e-005,0.057018
4.2484e-005,0.0569287
4.2488e-005,0.0574546
4.2492e-005,0.0575488
4.2496e-005,0.0565369
4.25e-005,0.0568593
4.2504e-005,0.057405
4.2508e-005,0.0572165
4.2512e-005,0.0569883
4.2516e-005,0.0575736
4.252e-005,0.0570825
4.2524e-005,0.0574744
4.2528e-005,0.058154
4.2532e-005,0.0573702
4.2536e-005,0.0573653
4.254e-005,0.0575389
4.2544e-005,0.0570031
4.2548e-005,0.0570924
4.2552e-005,0.0575389
4.2556e-005,0.0574446
4.256e-005,0.0575538
4.2564e-005,0.0581788
4.2568e-005,0.0575637
4.2572e-005,0.0581887
4.2576e-005,0.0581094
4.258e-005,0.0579159
4.2584e-005,0.0571569
4.2588e-005,0.0576976
4.2592e-005,0.0572859
4.2596e-005,0.0574992
4.26e-005,0.0579556
4.2604e-005,0.0573057
4.2608e-005,0.0582334
4.2612e-005,0.0575488
4.2616e-005,0.0576629
4.262e-005,0.0574347
4.2624e-005,0.0579556
4.2628e-005,0.0573802
4.2632e-005,0.0579655
4.2636e-005,0.0579258
4.264e-005,0.0577125
4.2644e-005,0.0576381
4.2648e-005,0.0575935
4.2652e-005,0.0578266
4.2656e-005,0.0579953
4.266e-005,0.0579953
4.2664e-005,0.0580052
4.2668e-005,0.0582979
4.2672e-005,0.0579258
4.2676e-005,0.0574397
4.268e-005,0.0578365
4.2684e-005,0.0578365
4.2688e-005,0.0579953
4.2692e-005,0.0576728
4.2696e-005,0.0574446
4.27e-005,0.0583276
4.2704e-005,0.0576431
4.2708e-005,0.0574694
4.2712e-005,0.0581937
4.2716e-005,0.0578365
4.272e-005,0.0580796
4.2724e-005,0.0575637
4.2728e-005,0.0579853
4.2732e-005,0.0579953
4.2736e-005,0.0574
4.274e-005,0.0578117
4.2744e-005,0.0578663
4.2748e-005,0.0573851
4.2752e-005,0.0579655
4.2756e-005,0.0580201
4.276e-005,0.0579605
4.2764e-005,0.0581143
4.2768e-005,0.0583475
4.2772e-005,0.057648
4.2776e-005,0.0578117
4.278e-005,0.0577026
4.2784e-005,0.0572958
4.2788e-005,0.0576381
4.2792e-005,0.0582383
4.2796e-005,0.0577224
4.28e-005,0.0577125
4.2804e-005,0.0581838
4.2808e-005,0.0579209
4.2812e-005,0.0579655
4.2816e-005,0.0582334
4.282e-005,0.0581094
4.2824e-005,0.0581391
4.2828e-005,0.0583375
4.2832e-005,0.0577423
4.2836e-005,0.0578365
4.284e-005,0.0578018
4.2844e-005,0.0578167
4.2848e-005,0.0578365
4.2852e-005,0.0580002
4.2856e-005,0.0580697
4.286e-005,0.0581738
4.2864e-005,0.0577522
4.2868e-005,0.0583425
4.2872e-005,0.0577274
4.2876e-005,0.0579457
4.288e-005,0.0580449
4.2884e-005,0.0579655
4.2888e-005,0.0580449
4.2892e-005,0.0578613
4.2896e-005,0.0579457
4.29e-005,0.0586005
4.2904e-005,0.0579308
4.2908e-005,0.0580746
4.2912e-005,0.05803
4.2916e-005,0.0580746
4.292e-005,0.0580399
4.2924e-005,0.0581094
4.2928e-005,0.0578514
4.2932e-005,0.0575141
4.2936e-005,0.0579903
4.294e-005,0.0576133
4.2944e-005,0.0582979
4.2948e-005,0.058035
4.2952e-005,0.0583375
4.2956e-005,0.0580002
4.296e-005,0.058412
4.2964e-005,0.0579209
4.2968e-005,0.0583872
4.2972e-005,0.0586699
4.2976e-005,0.0581887
4.298e-005,0.0578415
4.2984e-005,0.0565914
4.2988e-005,0.0485056
4.2992e-005,0.042295
4.2996e-005,0.0394774
4.3e-005,0.0374882
4.3004e-005,0.0363472
4.3008e-005,0.0353204
4.3012e-005,0.0250172
4.3016e-005,0.0206668
4.302e-005,0.0203692
4.3024e-005,0.0191439
4.3028e-005,0.018752
4.3032e-005,0.0185734
4.3036e-005,0.0087961
4.304e-005,0.00151394
4.3044e-005,0.00230268
4.3048e-005,0.000313479
4.3052e-005,0.000849224
4.3056e-005,0.00142465
4.306e-005,0.000635918
4.3064e-005,0.000417652
4.3068e-005,0.000809539
4.3072e-005,-0.000638955
4.3076e-005,0.0102148
4.308e-005,0.0190794
4.3084e-005,0.0205973
4.3088e-005,0.0231917
4.3092e-005,0.0257316
4.3096e-005,0.0276712
4.31e-005,0.0283458
4.3104e-005,0.0308013
4.3108e-005,0.0315355
4.3112e-005,0.031967
4.3116e-005,0.0333064
4.312e-005,0.0343729
4.3124e-005,0.0342687
4.3128e-005,0.0352857
4.3132e-005,0.0349682
4.3136e-005,0.0350079
4.314e-005,0.0360694
4.3144e-005,0.0358462
4.3148e-005,0.0358859
4.3152e-005,0.0366796
4.3156e-005,0.0362877
4.316e-005,0.0363075
4.3164e-005,0.0363373
4.3168e-005,0.03726
4.3172e-005,0.0369475
4.3176e-005,0.0369723
4.318e-005,0.0368433
4.3184e-005,0.0366746
4.3188e-005,0.0374435
4.3192e-005,0.0370268
4.3196e-005,0.0367292
4.32e-005,0.037508
4.3204e-005,0.0374584
4.3208e-005,0.0373394
4.3212e-005,0.0373344
4.3216e-005,0.0376618
4.322e-005,0.0366796
4.3224e-005,0.0372104
4.3228e-005,0.0370417
4.3232e-005,0.0373294
4.3236e-005,0.0368383
4.324e-005,0.0369078
4.3244e-005,0.0367391
4.3248e-005,0.0371509
4.3252e-005,0.0368284
4.3256e-005,0.0367937
4.326e-005,0.0370566
4.3264e-005,0.0366994
4.3268e-005,0.037002
4.3272e-005,0.0364613
4.3276e-005,0.0370169
4.328e-005,0.0369425
4.3284e-005,0.0373195
4.3288e-005,0.0365407
4.3292e-005,0.0363572
4.3296e-005,0.0368433
4.33e-005,0.0364663
4.3304e-005,0.036506
4.3308e-005,0.036754
4.3312e-005,0.0374386
4.3316e-005,0.037255
4.332e-005,0.0371409
4.3324e-005,0.0361984
4.3328e-005,0.0371161
4.3332e-005,0.0369673
4.3336e-005,0.03663
4.334e-005,0.0363522
4.3344e-005,0.0367193
4.3348e-005,0.0362927
4.3352e-005,0.0372253
4.3356e-005,0.0369772
4.336e-005,0.036878
4.3364e-005,0.0366647
4.3368e-005,0.0368185
4.3372e-005,0.036248
4.3376e-005,0.0364613
4.338e-005,0.0372699
4.3384e-005,0.0362778
4.3388e-005,0.0363572
4.3392e-005,0.0365804
4.3396e-005,0.0363919
4.34e-005,0.0364365
4.3404e-005,0.0369127
4.3408e-005,0.0365556
4.3412e-005,0.0358512
4.3416e-005,0.0360298
4.342e-005,0.0361835
4.3424e-005,0.0364712
4.3428e-005,0.037007
4.3432e-005,0.0366399
4.3436e-005,0.0360248
4.344e-005,0.0363869
4.3444e-005,0.0365903
4.3448e-005,0.0363472
4.3452e-005,0.0366449
4.3456e-005,0.0364117
4.346e-005,0.0369822
4.3464e-005,0.0366697
4.3468e-005,0.036754
4.3472e-005,0.036506
4.3476e-005,0.0367441
4.348e-005,0.0363324
4.3484e-005,0.0362728
4.3488e-005,0.0368383
4.3492e-005,0.0359256
4.3496e-005,0.0369772
4.35e-005,0.0363423
4.3504e-005,0.0366994
4.3508e-005,0.0366548
4.3512e-005,0.0358809
4.3516e-005,0.0366746
4.352e-005,0.0366598
4.3524e-005,0.0366201
4.3528e-005,0.036878
4.3532e-005,0.0357371
4.3536e-005,0.0365308
4.354e-005,0.0363324
4.3544e-005,0.0365308
4.3548e-005,0.0370715
4.3552e-005,0.0363472
4.3556e-005,0.0365655
4.356e-005,0.0366746
4.3564e-005,0.0363472
4.3568e-005,0.0363175
4.3572e-005,0.0369475
4.3576e-005,0.036119
4.358e-005,0.0357718
4.3584e-005,0.0370368
4.3588e-005,0.0364216
4.3592e-005,0.0364812
4.3596e-005,0.0364961
4.36e-005,0.0364663
4.3604e-005,0.0359305
4.3608e-005,0.0364564
4.3612e-005,0.0363572
4.3616e-005,0.0356676
4.362e-005,0.0361885
4.3624e-005,0.0358462
4.3628e-005,0.0359752
4.3632e-005,0.0362976
4.3636e-005,0.0362331
4.364e-005,0.0356428
4.3644e-005,0.0366449
4.3648e-005,0.0364961
4.3652e-005,0.0365853
4.3656e-005,0.0371608
4.366e-005,0.0366945
4.3664e-005,0.0365705
4.3668e-005,0.0366746
4.3672e-005,0.0356478
4.3676e-005,0.0360992
4.368e-005,0.0362679
4.3684e-005,0.0364266
4.3688e-005,0.0365159
4.3692e-005,0.036501
4.3696e-005,0.0369078
4.37e-005,0.0360942
4.3704e-005,0.0367094
4.3708e-005,0.0363423
4.3712e-005,0.0364216
4.3716e-005,0.0366498
4.372e-005,0.0367986
4.3724e-005,0.035747
4.3728e-005,0.0368086
4.3732e-005,0.0364415
4.3736e-005,0.0357867
4.374e-005,0.0363175
4.3744e-005,0.0364514
4.3748e-005,0.0358016
4.3752e-005,0.0357569
4.3756e-005,0.0341348
4.376e-005,0.0326218
4.3764e-005,0.0325127
4.3768e-005,0.0320861
4.3772e-005,0.0319174
4.3776e-005,0.0320662
4.378e-005,0.0237771
4.3784e-005,0.0201261
4.3788e-005,0.0193076
4.3792e-005,0.0196796
4.3796e-005,0.0179285
4.38e-005,0.0181716
4.3804e-005,0.0068565
4.3808e-005,0.00102284
4.3812e-005,0.00128576
4.3816e-005,-7.34468e-005
4.382e-005,0.000725209
4.3824e-005,0.000978199
4.3828e-005,0.000774815
4.3832e-005,0.000373007
4.3836e-005,0.00090379
4.384e-005,-0.000480216
4.3844e-005,0.0105968
4.3848e-005,0.0192679
4.3852e-005,0.0212621
4.3856e-005,0.024169
4.386e-005,0.0287178
4.3864e-005,0.0305086
4.3868e-005,0.0314958
4.3872e-005,0.0341646
4.3876e-005,0.0354246
4.388e-005,0.0366598
4.3884e-005,0.0380041
4.3888e-005,0.0397254
4.3892e-005,0.0394575
4.3896e-005,0.0410697
4.39e-005,0.041283
4.3904e-005,0.042295
4.3908e-005,0.0431532
4.3912e-005,0.0430242
4.3916e-005,0.0437187
4.392e-005,0.044304
4.3924e-005,0.0439419
4.3928e-005,0.0445273
4.3932e-005,0.0450084
4.3936e-005,0.0451324
4.394e-005,0.044939
4.3944e-005,0.0456235
4.3948e-005,0.0453011
4.3952e-005,0.0450928
4.3956e-005,0.0464073
4.396e-005,0.045435
4.3964e-005,0.0452614
4.3968e-005,0.0466057
4.3972e-005,0.0456632
4.3976e-005,0.0462833
4.398e-005,0.0460998
4.3984e-005,0.0458617
4.3988e-005,0.0456037
4.3992e-005,0.0465214
4.3996e-005,0.0457079
4.4e-005,0.0461841
4.4004e-005,0.0468587
4.4008e-005,0.0463329
4.4012e-005,0.0465214
4.4016e-005,0.0467099
4.402e-005,0.0465512
4.4024e-005,0.0467496
4.4028e-005,0.0469927
4.4032e-005,0.0469579
4.4036e-005,0.0466107
4.404e-005,0.0462089
4.4044e-005,0.0467149
4.4048e-005,0.0461295
4.4052e-005,0.0470572
4.4056e-005,0.0465264
4.406e-005,0.0465165
4.4064e-005,0.046705
4.4068e-005,0.0466802
4.4072e-005,0.045941
4.4076e-005,0.0469183
4.408e-005,0.0460452
4.4084e-005,0.0467248
4.4088e-005,0.0473349
4.4092e-005,0.0465363
4.4096e-005,0.0459857
4.41e-005,0.0461246
4.4104e-005,0.0466107
4.4108e-005,0.0463627
4.4112e-005,0.0470274
4.4116e-005,0.0458666
4.412e-005,0.0461642
4.4124e-005,0.046948
4.4128e-005,0.0466454
4.4132e-005,0.0470572
4.4136e-005,0.0465363
4.414e-005,0.0470621
4.4144e-005,0.0465363
4.4148e-005,0.0467595
4.4152e-005,0.0466901
4.4156e-005,0.0469629
4.416e-005,0.0469927
4.4164e-005,0.0462684
4.4168e-005,0.0465313
4.4172e-005,0.0461891
4.4176e-005,0.0460055
4.418e-005,0.0470621
4.4184e-005,0.0465611
4.4188e-005,0.0460204
4.4192e-005,0.0469579
4.4196e-005,0.0466405
4.42e-005,0.0464916
4.4204e-005,0.0464867
4.4208e-005,0.0464867
4.4212e-005,0.0463478
4.4216e-005,0.0462486
4.422e-005,0.0468587
4.4224e-005,0.0459261
4.4228e-005,0.0469877
4.4232e-005,0.0467149
4.4236e-005,0.0463031
4.424e-005,0.0467446
4.4244e-005,0.0465264
4.4248e-005,0.0457327
4.4252e-005,0.0462982
4.4256e-005,0.0468637
4.426e-005,0.0463329
4.4264e-005,0.0466454
4.4268e-005,0.0463776
4.4272e-005,0.0468141
4.4276e-005,0.0464222
4.428e-005,0.0468488
4.4284e-005,0.046571
4.4288e-005,0.046576
4.4292e-005,0.0472109
4.4296e-005,0.0466653
4.43e-005,0.0473548
4.4304e-005,0.0469431
4.4308e-005,0.0463131
4.4312e-005,0.045941
4.4316e-005,0.0467645
4.432e-005,0.0463329
4.4324e-005,0.0469183
4.4328e-005,0.0471167
4.4332e-005,0.0461097
4.4336e-005,0.0468091
4.434e-005,0.0466802
